Timestamp,Should we allow Windows screenshots?,Should general Linux beginner questions be moved to more relevant subs?,Should we try banning certain popular elements for a limited time?,Should we turn off downvotes?
23/05/2015 09:51:35,"No, with the exception to Windows ports of *nix software",Yes,Yes,Indifferent
23/05/2015 12:18:19,"Yes, but only if it's been massively customised",Indifferent,Yes,No
23/05/2015 13:56:39,"Yes, but with a strict no-defaults rule",Yes,No,No
23/05/2015 15:49:51,"No, with the exception to Windows ports of *nix software",No,No,Indifferent
23/05/2015 16:25:16,"Yes, but only if it's been massively customised",No,Yes,Yes
23/05/2015 20:28:29,"No, with the exception to Windows ports of *nix software",No,Yes,Yes
23/05/2015 23:19:34,"No, not under any circumstances",Yes,Yes,No
24/05/2015 01:02:27,"No, not under any circumstances",Indifferent,No,No
24/05/2015 02:19:50,"No, not under any circumstances",Yes,No,No
24/05/2015 02:34:22,"Yes, but only if it's been massively customised",Indifferent,Indifferent,No
24/05/2015 04:30:30,"No, with the exception to Windows ports of *nix software",No,No,Yes
24/05/2015 04:30:36,Indifferent,No,Yes,No
24/05/2015 06:01:36,"No, not under any circumstances",Yes,Yes,Indifferent
24/05/2015 07:05:49,"No, with the exception to Windows ports of *nix software",Yes,Yes,No
24/05/2015 07:16:41,"No, with the exception to Windows ports of *nix software",No,Indifferent,No
24/05/2015 08:37:09,"No, not under any circumstances",Yes,No,No
24/05/2015 11:04:57,"No, not under any circumstances",No,No,Yes
24/05/2015 13:01:27,"No, not under any circumstances",Indifferent,No,No
24/05/2015 14:35:56,"No, not under any circumstances",Yes,No,No
24/05/2015 17:22:17,"Yes, but with a strict no-defaults rule",Yes,Yes,Indifferent
24/05/2015 18:54:08,"No, with the exception to Windows ports of *nix software",Yes,No,Yes
25/05/2015 02:48:37,"No, with the exception to Windows ports of *nix software",Yes,No,Indifferent
25/05/2015 04:17:13,"No, with the exception to Windows ports of *nix software",Indifferent,No,No
25/05/2015 08:08:31,"No, not under any circumstances",Yes,No,Yes
25/05/2015 09:41:16,"No, not under any circumstances",Yes,No,No
25/05/2015 13:00:40,"No, not under any circumstances",No,No,No
25/05/2015 14:38:29,"No, not under any circumstances",Yes,No,No
25/05/2015 15:56:12,"Yes, but with a strict no-defaults rule",No,Yes,Indifferent
25/05/2015 15:56:43,"Yes, but with a strict no-defaults rule",No,Yes,Indifferent
25/05/2015 19:11:46,"No, with the exception to Windows ports of *nix software",Yes,No,No
25/05/2015 19:45:08,"No, with the exception to Windows ports of *nix software",No,No,Indifferent
25/05/2015 22:12:07,"No, not under any circumstances",No,No,Yes
25/05/2015 22:13:40,"No, not under any circumstances",No,No,No
26/05/2015 00:19:14,"No, not under any circumstances",No,No,Yes
26/05/2015 01:14:34,"Yes, but with a strict no-defaults rule",No,Indifferent,Indifferent
26/05/2015 08:33:08,Indifferent,Indifferent,No,No
26/05/2015 10:07:00,"Yes, but only if it's been massively customised",Indifferent,Yes,Indifferent
26/05/2015 10:47:06,"No, not under any circumstances",No,No,No
26/05/2015 12:32:31,"No, not under any circumstances",No,No,No
26/05/2015 17:30:22,"No, not under any circumstances",Yes,No,No
26/05/2015 17:58:32,"No, with the exception to Windows ports of *nix software",Yes,No,No
26/05/2015 19:30:22,"Yes, but only if it's been massively customised",No,Indifferent,Yes
27/05/2015 09:19:56,"No, not under any circumstances",No,No,No
27/05/2015 11:33:57,"No, not under any circumstances",Indifferent,Yes,No
27/05/2015 17:29:10,"No, not under any circumstances",Yes,Indifferent,No
27/05/2015 20:47:19,"No, with the exception to Windows ports of *nix software",Yes,No,Yes
